no,name,type,init,step,lower_bound,upper_bound,final
0,mean_lambda,free,1e-06,1e-07, , ,0.00327467
1,gamma_lambda,free,0.1,0.01, , ,1.87979
2,var_lambda,free,1e-06,1e-07, , ,0.000411422
3,mean_q,free,1,1, , ,530.18
4,gamma_q,free,1,0.1, , ,0.602105
5,var_q,free,100000,10000, , ,352739
6,beta,bound,0.04,0.004,0.03,0.05,0.05
7,var_x,free,1e-05,0.001, , ,9.2339e-05
8,var_g,free,100000,1000, , ,424443
9,var_dx,free,0.01,0.001, , ,0.172966
10,var_dg,free,1e+09,1e+08, , ,1.24521e+11

errors^2:
epsilon,mean_lambda,gamma_lambda,var_lambda,mean_q,gamma_q,var_q,beta,var_x,var_g,var_dx,var_dg
0.05,2.44903e-07,0.12819,1.77305e-08,73089,0.0195123,1.97607e+09,0.000374714,7.97187e-12,1.58599e+08,0.840098,-1.25833e+25
0.01,2.34911e-07,0.143662,1.96993e-08,75681.3,0.0200469,2.04708e+09,0.000387819,8.21381e-12,1.61306e+08,0.0466101,4.46117e+22
0.005,2.33529e-07,0.103472,1.29774e-08,68703.6,0.0182195,1.91651e+09,0.000350422,7.81366e-12,1.60742e+08,0.0182697,3.28404e+22

n_data_points, 3068
total_log_likelihoood,-21663.1108832689
norm_log_likelihoood,-7.06098790197813
optimization_algorithm,LN_NELDERMEAD
tolerance,1e-40
search_space,log
version,0.2
