no,name,type,init,step,lower_bound,upper_bound,final
0,mean_lambda,free,0.6,0.1, , ,0.664735
1,gamma_lambda,free,4,0.2, , ,18.7816
2,var_lambda,free,1,0.01, , ,2.60186
3,mean_q,free,1000,100, , ,44289.3
4,gamma_q,free,1,0.1, , ,2.38736
5,var_q,free,2e+06,200000, , ,3.17608e+09
6,beta,bound,0.008,0.0008,0.006,0.01,0.01
7,var_x,free,0.0001,1e-05, , ,3.08725e-05
8,var_g,free,100000,10000, , ,5.03102e+06
9,var_dx,free,0.007,0.0007, , ,0.00823676
10,var_dg,free,1e+06,100000, , ,9.01464e+07

errors^2:
epsilon,mean_lambda,gamma_lambda,var_lambda,mean_q,gamma_q,var_q,beta,var_x,var_g,var_dx,var_dg
0.05,1.06721e-05,-0.398275,-0.020256,1.70152e+06,0.01401,1.18111e+16,0.000212338,1.67596e-13,6.60849e+09,2.05415e-07,1.94644e+13
0.01,1.06725e-05,-0.368628,-0.0190097,958036,0.0133099,1.1862e+16,4.87239e-05,1.86112e-13,6.68229e+09,2.0863e-07,1.97183e+13
0.005,1.06731e-05,-0.365939,-0.0188745,849170,0.0131898,1.17518e+16,2.47864e-05,1.85555e-13,6.6653e+09,2.08747e-07,1.97286e+13

n_data_points, 14765
total_log_likelihoood,-130385.931592007
norm_log_likelihoood,-8.8307437583479
optimization_algorithm,LN_NELDERMEAD
tolerance,1e-40
search_space,log
version,0.2
