no,name,type,init,step,lower_bound,upper_bound,final
0,mean_lambda,free,0.6,0.1, , ,0.589581
1,gamma_lambda,free,4,0.2, , ,0.841638
2,var_lambda,free,1,0.01, , ,0.124043
3,mean_q,free,1000,100, , ,3235.87
4,gamma_q,free,1,0.1, , ,2.54723
5,var_q,free,2e+06,200000, , ,2.94907e+07
6,beta,bound,0.35,0.035,0.3,0.4,0.376364
7,var_x,free,0.0001,1e-05, , ,0.000418173
8,var_g,free,100000,10000, , ,168941
9,var_dx,free,0.007,0.0007, , ,0.0181254
10,var_dg,free,1e+06,100000, , ,1.19578e+06

errors^2:
epsilon,mean_lambda,gamma_lambda,var_lambda,mean_q,gamma_q,var_q,beta,var_x,var_g,var_dx,var_dg
0.05,0.000536455,0.0156255,0.000231272,302995,0.283694,1.3854e+13,0.0203159,9.08354e-10,2.70496e+08,2.52595e-06,1.36371e+10
0.01,0.000537542,0.0165467,0.000246002,233665,0.246266,1.42529e+13,0.0156409,9.29794e-10,2.61051e+08,2.51616e-06,1.39351e+10
0.005,0.000539543,0.0174619,0.00025778,188287,0.226033,1.48597e+13,0.0125881,9.27606e-10,2.5355e+08,2.46585e-06,1.41125e+10

n_data_points, 1604
total_log_likelihoood,-14307.3816566067
norm_log_likelihoood,-8.91981400037825
optimization_algorithm,LN_NELDERMEAD
tolerance,1e-40
search_space,log
version,0.2
