no,name,type,init,step,lower_bound,upper_bound,final
0,mean_lambda,free,1e-06,1e-07, , ,0.238612
1,gamma_lambda,free,0.1,0.01, , ,0.00014368
2,var_lambda,free,1e-06,1e-07, , ,1.09644e-05
3,mean_q,free,1,1, , ,0.43614
4,gamma_q,free,1,0.1, , ,0.0136835
5,var_q,free,100000,10000, , ,0.947136
6,beta,bound,0.001,0.0001,0.0001,0.01,0.000255445
7,var_x,free,1e-05,0.001, , ,0.000115287
8,var_g,free,100000,1000, , ,51214.6
9,var_dx,free,0.01,0.001, , ,0.0336146
10,var_dg,free,1e+09,1e+08, , ,5.78191e+09

errors^2:
epsilon,mean_lambda,gamma_lambda,var_lambda,mean_q,gamma_q,var_q,beta,var_x,var_g,var_dx,var_dg
0.05,-0.000129078,-8.41619e-11,1.34896e-13,-0.117466,-3.95469e-08,0.00118886,-3.13371e-08,6.08623e-13,-196870,-0.000779094,-1.60669e+19
0.01,0.000364424,4.82249e-11,1.6218e-13,0.126659,-3.10155e-06,-0.0137177,1.55513e-08,6.30619e-13,-192107,0.000480603,-3.94899e+19
0.005,0.000233021,6.89771e-12,1.59751e-13,-0.0472186,-5.45259e-07,-0.00128268,-1.74513e-08,6.26496e-13,-196188,-0.000590733,-1.96744e+19

n_data_points, 51687
total_log_likelihoood,-279794.039190229
norm_log_likelihoood,-5.41323812932129
optimization_algorithm,LN_NELDERMEAD
tolerance,1e-40
search_space,log
version,0.2

errors^2:
epsilon,mean_lambda,gamma_lambda,var_lambda,mean_q,gamma_q,var_q,beta,var_x,var_g,var_dx,var_dg
0.05,-0.000129078,-8.41619e-11,1.34896e-13,-0.117466,-3.95469e-08,0.00118886,-3.13371e-08,6.08623e-13,-196870,-0.000779094,-1.60669e+19
0.01,0.000364424,4.82249e-11,1.6218e-13,0.126659,-3.10155e-06,-0.0137177,1.55513e-08,6.30619e-13,-192107,0.000480603,-3.94899e+19
0.005,0.000233021,6.89771e-12,1.59751e-13,-0.0472186,-5.45259e-07,-0.00128268,-1.74513e-08,6.26496e-13,-196188,-0.000590733,-1.96744e+19

n_data_points, 51687
total_log_likelihoood,-279794.039190229
norm_log_likelihoood,-5.41323812932129
optimization_algorithm,LN_NELDERMEAD
tolerance,1e-40
search_space,log
version,0.2
