no,name,type,init,step,lower_bound,upper_bound,final
0,mean_lambda,free,0.6,0.1, , ,0.635717
1,gamma_lambda,free,4,0.2, , ,3.17832
2,var_lambda,free,1,0.01, , ,0.602641
3,mean_q,free,1000,100, , ,12077.3
4,gamma_q,free,1,0.1, , ,3.44135
5,var_q,free,2e+06,200000, , ,1.93957e+08
6,beta,bound,0.35,0.035,0.3,0.4,0.395245
7,var_x,free,0.0001,1e-05, , ,9.13893e-05
8,var_g,free,100000,10000, , ,219224
9,var_dx,free,0.007,0.0007, , ,0.00499092
10,var_dg,free,1e+06,100000, , ,2.74489e+06

errors^2:
epsilon,mean_lambda,gamma_lambda,var_lambda,mean_q,gamma_q,var_q,beta,var_x,var_g,var_dx,var_dg
0.05,2.83079e-05,0.00993433,0.000322182,548429,0.088344,5.87473e+13,0.00354545,9.67567e-13,6.19178e+06,1.94847e-08,6.57133e+09
0.01,2.83292e-05,0.0102079,0.000333167,469737,0.0798931,5.7602e+13,0.00303776,9.92313e-13,6.1582e+06,1.95736e-08,6.66688e+09
0.005,2.83696e-05,0.0103334,0.000334271,389675,0.0698573,5.38028e+13,0.00251964,9.99132e-13,6.01075e+06,1.94269e-08,6.6876e+09

n_data_points, 42852
total_log_likelihoood,-322182.260427878
norm_log_likelihoood,-7.51848829524592
optimization_algorithm,LN_NELDERMEAD
tolerance,1e-40
search_space,log
version,0.2
