no,name,type,init,step,lower_bound,upper_bound,final
0,mean_lambda,free,0.6,0.1, , ,0.660065
1,gamma_lambda,free,4,0.2, , ,3.42815
2,var_lambda,free,1,0.01, , ,0.416865
3,mean_q,free,1000,100, , ,3230.04
4,gamma_q,free,1,0.1, , ,3.47368
5,var_q,free,2e+06,200000, , ,5.12161e+07
6,beta,bound,0.008,0.0008,0.006,0.01,0.00732184
7,var_x,free,0.0001,1e-05, , ,6.54935e-05
8,var_g,free,100000,10000, , ,108406
9,var_dx,free,0.007,0.0007, , ,0.00567548
10,var_dg,free,1e+06,100000, , ,404572

errors^2:
epsilon,mean_lambda,gamma_lambda,var_lambda,mean_q,gamma_q,var_q,beta,var_x,var_g,var_dx,var_dg
0.05,1.64688e-05,0.00900806,0.000123728,-1562.79,0.00812775,1.78627e+12,-8.8556e-05,4.905e-13,1.01341e+06,2.69932e-08,1.96584e+08
0.01,1.64662e-05,0.00912626,0.000126889,1526.51,0.00936063,1.88278e+12,-1.08085e-05,4.99988e-13,1.03121e+06,2.73858e-08,1.98416e+08
0.005,1.64602e-05,0.0091125,0.00012669,1749.95,0.00946649,1.91395e+12,-5.17974e-06,5.00038e-13,1.03048e+06,2.74112e-08,1.98381e+08

n_data_points, 44237
total_log_likelihoood,-304544.942590475
norm_log_likelihoood,-6.88439411783067
optimization_algorithm,LN_NELDERMEAD
tolerance,1e-40
search_space,log
version,0.2
