no,name,type,init,step,lower_bound,upper_bound,final
0,mean_lambda,free,0.6,0.1, , ,0.712508
1,gamma_lambda,free,4,0.2, , ,4.42911
2,var_lambda,free,1,0.01, , ,1.22268
3,mean_q,free,1000,100, , ,411.983
4,gamma_q,free,1,0.1, , ,3.14702
5,var_q,free,2e+06,200000, , ,114615
6,beta,bound,0.35,0.035,0.3,0.4,0.368905
7,var_x,free,0.0001,1e-05, , ,6.09592e-05
8,var_g,free,100000,10000, , ,1897.72
9,var_dx,free,0.007,0.0007, , ,0.00709521
10,var_dg,free,1e+06,100000, , ,10696.5

errors^2:
epsilon,mean_lambda,gamma_lambda,var_lambda,mean_q,gamma_q,var_q,beta,var_x,var_g,var_dx,var_dg
0.05,0.00016442,-0.0316967,-0.0117207,757.894,0.0597175,5.51479e+07,0.00433297,7.88122e-13,1416.54,1.54993e-07,1.94562e+06
0.01,0.000164489,-0.0289897,-0.0113849,636.777,0.0597181,5.52559e+07,0.00361004,8.50218e-13,1439.59,1.55238e-07,1.99028e+06
0.005,0.000164603,-0.0287027,-0.0113596,532.355,0.0597902,5.3682e+07,0.00298587,8.67122e-13,1441.62,1.53559e-07,1.99472e+06

n_data_points, 7942
total_log_likelihoood,-37801.9870973545
norm_log_likelihoood,-4.75975662268377
optimization_algorithm,LN_NELDERMEAD
tolerance,1e-40
search_space,log
version,0.2
